Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
38-065-0002-42602-1,47.185833,-101.428056,North Dakota,Rural,1.925655805,3.618314777,-0.470274299,0,0.304,1.56782,0,2015.9
39-035-0060-42602-1,41.493955,-81.678542,Ohio,Urban And Center City,18.19902334,18.41236195,8.55154705,89.8952,0.198,2.32576,0,644.8
39-035-0070-42602-1,41.456941,-81.592226,Ohio,Urban And Center City,14.20279059,16.73954854,8.48880291,57.0839,0.273,0,0.36476,633.4
39-061-0040-42602-1,39.128611,-84.504167,Ohio,Urban And Center City,17.96067939,19.04510998,9.953789711,77.1053,0.213,1.28506,0.37119,804.8
40-021-9002-42602-1,35.85408,-94.985964,Oklahoma,Rural,7.178897362,6.743318192,0.426683277,11.7881,0.243,1.57432,0.25672,785
40-097-9014-42602-1,36.228408,-95.249943,Oklahoma,Rural,4.227620428,5.545751383,1.828489661,1.6609,0.198,0,0.14964,840.2
40-109-0033-42602-1,35.477036,-97.494309,Oklahoma,Urban And Center City,10.05208693,15.59785382,3.35227108,53.7313,0.304,12.27311,0,809.2
40-109-1037-42602-1,35.614131,-97.475083,Oklahoma,Suburban,7.520451843,8.965717684,2.67528224,15.1271,0.304,2.94342,0,826.3
40-143-1127-42602-1,36.204902,-95.976537,Oklahoma,Urban And Center City,11.05663468,8.900043173,3.649911165,30.8186,0.198,0,0,855.9
42-003-0008-42602-1,40.465556,-79.961111,Pennsylvania,Suburban,14.63595324,19.78297,10.22027683,61.5685,0.249,5.752,0.24561,400.8
42-003-0010-42602-1,40.445577,-80.016155,Pennsylvania,Urban And Center City,17.75307353,16.55220309,10.40528679,48.6599,0.216,1.79945,0,403.5
42-003-1005-42602-1,40.617222,-79.732222,Pennsylvania,Suburban,9.402536023,14.11548522,6.996488094,35.572,0.304,1.55096,0.07951,397.2
42-007-0014-42602-1,40.747796,-80.316442,Pennsylvania,Urban And Center City,15.02442478,13.29707599,6.424123764,29.2638,0.242,1.45086,0.40478,457.7
42-013-0801-42602-1,40.535278,-78.370833,Pennsylvania,Suburban,12.01360858,11.57997197,4.334649563,34.7096,0.304,0,0,267.7
42-017-0012-42602-1,40.107222,-74.882222,Pennsylvania,Suburban,15.22495796,15.65879881,11.60664845,46.0573,0.008,1.19071,0.20562,80.6
42-021-0011-42602-1,40.309722,-78.915,Pennsylvania,Urban And Center City,12.1906731,14.66784949,6.598720074,39.4763,0.304,3.56984,0,296.2
42-027-0100-42602-1,40.811389,-77.877028,Pennsylvania,Rural,8.161186108,10.36557426,3.817021847,22.5306,0.304,0,0.06739,263
42-043-0401-42602-1,40.245,-76.844722,Pennsylvania,Rural,13.48823188,12.13266147,7.513724804,36.1796,0.122,0,0,132.2
